2587,0.1,1.4,0.7,0.4,0.4,0.5,-0.3,0.1,-0.5,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2
2666,2.8,1.6,0.6,-1.0,-0.2,1.2,0.9,-0.1,-0.9,-0.6,-0.8,-1.0,-0.3,-0.3,-0.3
2674,-0.2,-0.6,-0.3,-0.7,-1.9,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
2739,-0.1,0.2,3.2,1.6,1.6,1.6,3.2,1.2,0.4,2.2,2.5,0.7,0.5,3.0,0.7
2782,0.3,-0.6,-0.6,-1.0,-0.3,-0.8,-0.6,-0.2,-0.4,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6
2847,0.4,-0.4,-0.2,-0.6,-0.6,-0.3,-0.6,-0.1,-0.4,-0.1,-0.4,-0.4,-0.4,-0.4,-0.4
2919,-0.1,-0.7,-0.3,-0.8,-0.7,-0.9,-0.3,-0.8,-0.2,-0.8,-0.1,-0.1,-0.1,-0.1,-0.1
2921,-0.2,-0.2,-0.2,-0.3,-0.8,-0.2,-0.6,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2924,0.2,2.1,2.0,1.3,-0.3,-0.2,-0.4,1.7,0.0,-0.4,0.4,0.1,-0.7,-0.3,-0.7
2951,-0.1,-0.4,-0.5,-0.5,-0.8,-0.6,1.0,0.1,0.1,0.0,-0.7,-0.7,-0.7,-0.7,-0.7
2968,1.8,1.2,1.6,0.5,0.0,1.6,0.8,-0.2,1.7,-0.5,-0.1,0.0,0.1,-0.8,-0.2
3018,1.5,1.8,1.4,0.6,0.4,1.5,1.4,0.6,3.5,1.8,1.2,1.4,-0.1,1.8,2.4
302,-0.2,1.8,0.5,-0.8,0.7,1.5,-0.3,-0.7,1.6,0.2,-0.9,1.3,1.0,0.5,1.0
3114,-0.3,1.8,1.4,0.6,2.9,1.1,0.5,-0.6,2.2,-0.8,2.6,2.3,1.6,0.6,1.0
3216,1.6,0.7,-0.1,-0.3,-0.3,-0.6,-0.4,-0.9,-0.2,-0.7,-0.8,-0.3,-0.3,-0.3,-0.3
3219,-0.8,-0.7,-0.4,-0.8,-1.0,-1.0,-0.8,-0.4,-0.7,-0.8,-0.6,-0.6,-0.6,-0.6,-0.6
3221,0.9,2.0,2.2,1.4,1.1,0.6,1.7,0.8,-1.0,0.5,2.4,0.7,-0.1,1.8,0.8
3294,-0.8,-0.2,-0.7,-0.5,-0.8,-0.4,-0.7,-0.2,-0.2,-0.5,0.8,0.8,0.8,0.8,0.8
3382,1.3,2.0,0.5,3.1,1.9,0.9,-0.2,1.1,1.2,1.2,-0.3,2.8,0.8,0.4,2.8
3390,-0.8,-0.8,-0.8,-0.9,-0.7,-1.0,-0.6,-1.0,-1.0,-0.3,-0.5,-0.5,-0.5,-0.5,-0.5
3689,0.6,-0.1,-0.4,0.1,-0.8,-0.8,-0.7,-0.5,0.1,-0.6,-0.3,-0.3,-0.3,-0.3,-0.3
3706,1.0,-0.9,0.2,1.5,0.7,-0.2,-0.2,-0.6,1.0,1.4,1.2,0.6,0.1,-0.3,0.6
3768,0.9,0.5,1.9,0.6,-0.4,1.4,2.3,1.3,1.4,0.1,-0.3,-0.2,0.8,2.3,2.2
3787,0.2,-0.3,-0.5,-0.4,-0.6,-0.5,-0.2,-0.3,-0.2,-0.1,-0.6,-0.3,-0.1,0.0,0.4
3853,0.7,-0.5,0.6,-0.6,0.4,0.2,0.1,-0.4,-0.5,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
3864,0.4,-0.5,0.1,-0.1,-0.1,-0.4,0.6,1.5,2.2,1.4,0.5,0.2,-0.2,-0.1,-1.0
3867,-0.5,-0.3,-0.5,-0.3,0.0,-1.0,-0.3,-0.6,-0.4,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
3976,0.1,-0.2,0.6,0.6,0.8,-0.1,-0.7,-0.5,-0.3,-0.7,-0.6,0.3,0.1,-0.6,-0.4
4201,-0.9,-0.3,-0.3,-0.8,-0.4,-0.5,-0.6,-0.5,-0.5,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
4289,1.2,1.8,2.1,-0.3,3.0,2.8,1.0,0.6,1.1,1.2,2.9,1.9,0.9,1.5,0.7
4315,2.1,1.0,0.4,1.5,1.5,3.1,2.1,1.0,-0.6,2.6,2.1,1.1,1.5,1.3,3.3
436,0.3,1.5,0.8,0.2,0.3,1.6,0.1,-0.1,-0.2,-0.8,-1.0,-0.6,-0.1,-1.0,-0.7
4409,-0.6,-0.6,-0.8,-0.4,-0.8,-0.7,-0.9,-0.9,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
4420,-0.6,-0.3,-0.1,-0.4,-0.9,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
4503,-0.9,-0.5,0.1,-0.2,-0.2,-0.8,-0.4,-0.9,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
4602,-0.2,1.5,1.0,-0.8,1.2,1.4,0.1,-0.6,2.1,1.4,0.2,-0.8,0.5,1.3,0.7
4704,0.0,-0.7,-0.3,-0.8,-0.7,0.0,0.0,-0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1
