1025,10.11,39.45,8.23
1054,0.30,49.11,16.52
1103,1.95,44.85,7.41
1104,6.71,37.73,6.29
1109,0.10,35,14.09
1127,6.37,44.94,9.25
1139,6.76,27.91,15.77
1163,1.71,42.67,8.93
1168,0.09,39.94,11.11
1172,1.19,45.56,8.34
1173,1.25,44.56,8.74
1211,1.87,40,4.54
1212,0.41,43,15.15
1213,0.36,43,15.35
1217,0.13,46,8.93
1224,0.59,50,12.28
1263,0.51,42,11.79
1271,0.13,37,6.19
1275,4.16,44,6.33
1276,0.43,42,10.79
1281,0.41,37,12.01
1352,0.61,49,7.69
1364,6.38,44,12.83
1367,0.98,41,9.08
1431,6.27,37,7.13
1456,8.14,44,8.70
1464,0.41,41,9.53
1556,8.64,39,8.94
1618,1.75,42,9.44
1650,0.19,44,11.75
1658,1.73,43,8.80
1670,0.72,45,12.04
1687,4.44,41,8.40
1688,5.04,44,3.56
1702,0.36,43,11.11
1705,3.55,45,7.53
1756,2.17,43,6.24
1780,11.19,40,6.23
1783,5.81,39,8.19
1784,6.41,44,14.09
1821,13.40,43,5.64
1830,3.99,43,7.73
1894,3.19,45,7.48
1935,1.21,47,8.27
1944,0.49,45,7.62
1956,0.70,38,11.68
1969,3.17,42,6.96
1994,5.57,41,8.97
1996,3.52,43,8.92
2046,7.30,38,4.80
2058,0.95,44,10.17
2062,0.94,44,11.12
2063,3.87,42,9.01
2124,6.15,39,7.61
2133,0.20,42,21.45
2138,8.32,48,8.53
2145,10.95,30,23.29
2156,5.31,41,13.51
2210,0.38,43,7.26
2218,9.16,35,14.38
2219,1.85,42,9.09
2290,5.74,46,11.05
2291,6.07,40,5.15
2292,1.75,47,6.45
2366,0.43,44,20.83
2369,0.18,40,7.71
2371,0.79,35,22.30
2387,2.65,36,14.86
2397,1.36,51,10.00
2399,4.06,30,11.78
2400,7.23,31,11.80
2401,0.16,43,10.29
2420,2.35,40,11.69
2551,4.80,36,9.30
2587,6.80,40,6.52
2664,0.11,38,10.77
2665,0.35,37,9.88
2666,2.53,41,11.33
2667,3.44,40,8.03
2674,2.19,43,6.09
2739,10.56,31,8.08
2760,3.07,44,6.01
2782,7.90,47,5.09
2836,0.34,44,9.96
2847,1.25,44,13.30
2919,11.01,41,8.07
2921,1.04,47,15.01
2924,4.44,36,8.11
2951,1.79,47,7.11
2964,0.82,45,9.50
2968,4.33,42,5.35
2969,1.18,40,8.41
3018,2.67,42,4.34
302,2.70,36,10.91
3031,7.32,38,5.98
3085,3.02,42.56,5.35
3111,4.21,40,11.49
3114,5.57,41,6.65
3204,3.57,47,9.66
3216,6.13,40,6.17
3219,4.56,35,6.08
3221,3.85,45,5.93
3294,0.18,0,14.54
3315,7.68,42,4.11
3382,3.40,42,8.23
3389,1.52,46,8.68
3390,0.83,43,10.47
3399,4.90,38,11.68
3461,5.72,43,6.58
3490,7.34,40,6.73
3528,0.76,50,11.46
3531,0.38,38,16.46
3558,0.35,40,9.41
3561,1.82,42,4.37
3570,1.25,46,5.44
3583,4.28,38,4.64
3675,3.63,41,7.33
3682,0.20,38,12.73
3689,0.68,45,6.49
3694,4.11,44,6.21
3706,4.45,46,5.10
3768,8.81,37,7.36
3769,1.01,40,8.46
3776,0.25,43,9.97
