1025,36.4
1054,37
1103,43.4
1104,25.8
1109,32
1109,40
1109,42.8
1127,29.6
1139,16
1163,45.3
1168,59.3
1172,33.9
1173,41.5
1211,59
1211,78
1211,87
1212,54
1213,37
1217,74
1224,55
1263,42
1271,65
1275,37
1276,46
1281,62
1281,95
1352,27
1364,27
1367,49
1431,32
1456,23
1464,32
1465,30
1516,34
1517,25
1556,36
1618,39
1650,94
1650,30
1658,40
1670,36
1687,32
1688,39
1702,76
1705,29
1756,48
1780,23
1783,34
1784,28
1821,25
1830,22
1894,34
1935,47
1944,52
1956,17
1969,49
1994,42
1996,33
2046,29
2058,49
2062,47
2063,32
2063,201
2063,101
2124,37
2133,95
2138,30
2145,28
2145,79
2145,38
2156,26
2210,45
2218,32
2219,53
2290,28
2291,31
2292,39
2297,19
2366,66
2369,48
2371,26
2387,26
2397,37
2399,50
2400,31
2401,36
2420,36
2453,31
2551,32
2587,34
2664,57
2665,37
2666,63
2667,27
2674,34
2739,72
2760,37
2782,30
2836,40
2847,53
2919,24
2921,36
2923,46
2924,39
2951,42
2964,47
2968,35
2969,30
3018,38
302,21.8
302,21.8
302,20.9
302,20.9
3031,32
3085,41
3111,31
3114,30
3204,24
3209,99
3216,35
3219,27
3221,37
3315,42
3382,39
3389,52
3390,47
3394,35
3399,38
3461,33
3490,44
3528,39
3531,60
3558,53
3561,43
3570,39
3583,30
3598,32
3675,32
3682,38
3689,47
3694,30
3706,69
3768,51
3768,30
3769,37
3769,50
3776,35
3787,26
3853,36
3864,24
3867,30
3946,25
3960,28
3971,58
3972,34
3974,37
3976,22
4063,26
4086,33
4092,49
4139,16
4177,32
4185,53
4201,30
4204,31
4211,31
4289,26
4290,32
4292,64
4299,39
4303,29
4315,47
4323,41
436,38.1
436,38.1
4404,34
4406,28
4408,27
4409,56
4412,39
4420,26
4425,32
4434,23
4496,58
4497,51
4500,40
4503,35
452,44.5
452,44.5
452,137
452,209.5
452,209.5
452,28.9
4530,62
4530,44
458,43.6
458,43.6
4600,25
4601,25
4602,22
4602,24
4604,25
461,39.7
461,39.7
4628,36
463,37.7
463,37.7
468,36.4
468,36.4
4696,58
4701,36
4704,25
4706,32
472,55.4
472,55.4
473,32.9
473,137.6
473,137.6
4744,42
4754,57
4756,68
4781,34
4817,35
4818,75
4818,80
4818,43
4819,20
483,28.3
483,28.3
4831,33
4831,53
4913,22
4914,53
4916,33
4931,26
4931,35
494,33.4
494,33.4
4989,54
501,73.6
501,73.6
5010,29
5018,27
503,40
503,40
504,38.5
504,38.5
5040,30
5105,39
5110,27
5126,25
5132,126
5137,26
